pair_id,judge,label
P001,rater_3,different
P002,rater_3,same
P003,rater_3,partial
P004,rater_3,same
P005,rater_3,different
P006,rater_3,same
P007,rater_3,same
P008,rater_3,same
P009,rater_3,different
P010,rater_3,partial
P011,rater_3,different
P012,rater_3,partial
P013,rater_3,same
P014,rater_3,same
P015,rater_3,same
P016,rater_3,same
P017,rater_3,different
P018,rater_3,same
P019,rater_3,same
P020,rater_3,same
P021,rater_3,partial
P022,rater_3,different
P023,rater_3,same
P024,rater_3,same
P025,rater_3,different
P026,rater_3,same
P027,rater_3,partial
P028,rater_3,partial
P029,rater_3,different
P030,rater_3,same
P031,rater_3,different
P032,rater_3,different
P033,rater_3,different
P034,rater_3,same
P035,rater_3,same
P036,rater_3,same
P037,rater_3,different
P038,rater_3,same
P039,rater_3,different
P040,rater_3,same
P041,rater_3,same
P042,rater_3,same
P043,rater_3,same
P044,rater_3,different
P045,rater_3,same
P046,rater_3,same
P047,rater_3,partial
P048,rater_3,same
P049,rater_3,different
P050,rater_3,partial
P051,rater_3,different
P052,rater_3,same
P053,rater_3,different
P054,rater_3,same
P055,rater_3,same
P056,rater_3,partial
P057,rater_3,same
P058,rater_3,different
P059,rater_3,same
P060,rater_3,different
P061,rater_3,different
P062,rater_3,same
P063,rater_3,same
P064,rater_3,partial
P065,rater_3,different
P066,rater_3,same
P067,rater_3,same
P068,rater_3,different
P069,rater_3,same
P070,rater_3,partial
P071,rater_3,same
P072,rater_3,partial
P073,rater_3,different
P074,rater_3,different
P075,rater_3,different
P076,rater_3,different
P077,rater_3,different
P078,rater_3,partial
P079,rater_3,different
P080,rater_3,same
P081,rater_3,different
P082,rater_3,different
P083,rater_3,different
P084,rater_3,different
P085,rater_3,same
P086,rater_3,partial
P087,rater_3,different
P088,rater_3,same
P089,rater_3,same
P090,rater_3,different
P091,rater_3,different
P092,rater_3,different
P093,rater_3,same
P094,rater_3,different
P095,rater_3,same
P096,rater_3,same
P097,rater_3,same
P098,rater_3,different
P099,rater_3,same
P100,rater_3,different
P101,rater_3,same
P102,rater_3,different
P103,rater_3,same
P104,rater_3,partial
P105,rater_3,partial
P106,rater_3,same
P107,rater_3,same
P108,rater_3,partial
P109,rater_3,same
P110,rater_3,different
P111,rater_3,different
P112,rater_3,same
P113,rater_3,partial
P114,rater_3,partial
P115,rater_3,same
P116,rater_3,same
P117,rater_3,same
P118,rater_3,same
P119,rater_3,different
P120,rater_3,different
P121,rater_3,different
P122,rater_3,different
P123,rater_3,same
P124,rater_3,different
P125,rater_3,same
P126,rater_3,different
P127,rater_3,same
P128,rater_3,same
P129,rater_3,same
P130,rater_3,same
P131,rater_3,same
P132,rater_3,different
P133,rater_3,same
P134,rater_3,different
P135,rater_3,different
P136,rater_3,same
P137,rater_3,same
P138,rater_3,same
P139,rater_3,same
P140,rater_3,same
P141,rater_3,same
P142,rater_3,same
P143,rater_3,same
P144,rater_3,different
P145,rater_3,same
P146,rater_3,different
P147,rater_3,different
P148,rater_3,same
P149,rater_3,partial
P150,rater_3,different
P151,rater_3,partial
P152,rater_3,same
P153,rater_3,same
P154,rater_3,same
P155,rater_3,same
P156,rater_3,different
P157,rater_3,partial
P158,rater_3,different
P159,rater_3,same
P160,rater_3,same
P161,rater_3,same
P162,rater_3,different
P163,rater_3,partial
P164,rater_3,same
P165,rater_3,same
P166,rater_3,partial
P167,rater_3,partial
P168,rater_3,same
P169,rater_3,partial
P170,rater_3,same
P171,rater_3,same
P172,rater_3,same
P173,rater_3,same
P174,rater_3,same
P175,rater_3,same
P176,rater_3,partial
P177,rater_3,same
P178,rater_3,same
P179,rater_3,different
P180,rater_3,different
P181,rater_3,same
P182,rater_3,different
P183,rater_3,same
P184,rater_3,different
P185,rater_3,partial
P186,rater_3,same
P187,rater_3,same
P188,rater_3,different
P189,rater_3,different
P190,rater_3,same
P191,rater_3,same
P192,rater_3,same
P193,rater_3,same
P194,rater_3,different
P195,rater_3,same
P196,rater_3,partial
P197,rater_3,same
P198,rater_3,same
P199,rater_3,same
P200,rater_3,same
P201,rater_3,partial
P202,rater_3,different
P203,rater_3,same
P204,rater_3,same
P205,rater_3,different
P206,rater_3,different
P207,rater_3,same
P208,rater_3,different
P209,rater_3,same
P210,rater_3,different
P211,rater_3,same
P212,rater_3,different
P213,rater_3,same
