pair_id,judge,label
P001,rater_1,different
P002,rater_1,partial
P003,rater_1,same
P004,rater_1,same
P005,rater_1,different
P006,rater_1,same
P007,rater_1,same
P008,rater_1,same
P009,rater_1,partial
P010,rater_1,same
P011,rater_1,different
P012,rater_1,same
P013,rater_1,same
P014,rater_1,same
P015,rater_1,same
P016,rater_1,same
P017,rater_1,different
P018,rater_1,same
P019,rater_1,same
P020,rater_1,same
P021,rater_1,same
P022,rater_1,different
P023,rater_1,same
P024,rater_1,same
P025,rater_1,partial
P026,rater_1,same
P027,rater_1,partial
P028,rater_1,partial
P029,rater_1,different
P030,rater_1,same
P031,rater_1,different
P032,rater_1,different
P033,rater_1,different
P034,rater_1,same
P035,rater_1,same
P036,rater_1,same
P037,rater_1,different
P038,rater_1,same
P039,rater_1,partial
P040,rater_1,partial
P041,rater_1,same
P042,rater_1,same
P043,rater_1,same
P044,rater_1,different
P045,rater_1,same
P046,rater_1,same
P047,rater_1,partial
P048,rater_1,same
P049,rater_1,different
P050,rater_1,same
P051,rater_1,different
P052,rater_1,same
P053,rater_1,different
P054,rater_1,same
P055,rater_1,same
P056,rater_1,same
P057,rater_1,same
P058,rater_1,different
P059,rater_1,same
P060,rater_1,different
P061,rater_1,different
P062,rater_1,partial
P063,rater_1,same
P064,rater_1,same
P065,rater_1,same
P066,rater_1,same
P067,rater_1,partial
P068,rater_1,different
P069,rater_1,same
P070,rater_1,different
P071,rater_1,same
P072,rater_1,same
P073,rater_1,different
P074,rater_1,partial
P075,rater_1,different
P076,rater_1,partial
P077,rater_1,different
P078,rater_1,same
P079,rater_1,partial
P080,rater_1,same
P081,rater_1,different
P082,rater_1,different
P083,rater_1,different
P084,rater_1,same
P085,rater_1,partial
P086,rater_1,same
P087,rater_1,different
P088,rater_1,same
P089,rater_1,same
P090,rater_1,different
P091,rater_1,different
P092,rater_1,different
P093,rater_1,same
P094,rater_1,different
P095,rater_1,same
P096,rater_1,same
P097,rater_1,same
P098,rater_1,different
P099,rater_1,same
P100,rater_1,different
P101,rater_1,same
P102,rater_1,different
P103,rater_1,same
P104,rater_1,partial
P105,rater_1,same
P106,rater_1,same
P107,rater_1,same
P108,rater_1,partial
P109,rater_1,same
P110,rater_1,different
P111,rater_1,different
